Organization Name,Industries,CB Rank (Organization),Full Description
Village Capital,"Agriculture, EdTech, Education, Finance, Financial Services, FinTech","1,049","Village Capital uses the power of peer support to change the traditional dynamics between investors and entrepreneurs, providing access to entrepreneurship for everyone.  We recruit entrepreneurs solving specific problems in agriculture, energy, education, financial inclusion, and health. We then put the power of investment in the hands of the entrepreneurs, who award pre-committed seed funding to the two ventures ranked highest by the entrepreneurs at the end of every program. Our programs connect high potential, early-stage entrepreneurs with the people, institutions, and capital they need to succeed. We support early-stage ventures with a 501c3 nonprofit that operates training programs for founders, investors, and communities. We also manage a for-profit, managed investment fund that provides early-stage capital to top graduates of each program, as selected by their peers. Our unique peer-selection model received McKinsey/Harvard Business Review’s prestigious M-Prize for innovation in 2013, and we have supported more than 550 enterprises across 51 programs in 9 countries. Since 2009, Village Capital has supported more than 1,000 entrepreneurs through our programs and partnered with affiliated investment funds, including VilCap Investments, that have invested seed capital in more than 90 program graduates. Over the past 8 years, our program graduates have gone on to generate $61.5M in revenue, reach 8.5 million customers, and create over 11,500 jobs. 96% of our alumni would recommend our program to other entrepreneurs, and to date and 91% of our entrepreneurs are still in business."
Fiveable,"EdTech, Education, Secondary Education","1,074","Fiveable is a social network platform for education that offers students learning through content, community, and courses. Fiveable is on a mission to create educational equity through social learning. The student-centered platform includes a robust content library, engaging community spaces on Hours, and interactive experiences that connect students who are learning the same thing at the same time."
Coderhouse,"EdTech, Education","1,092","Coderhouse offers live online courses in programming, design, data, and marketing for professionals. Students must turn in assignments that are corrected by their mentors for each class, and at the end of the course, they must turn in and approve a final project. They also assist the chosen students with career services such as mock interviews. Coderhouse was founded in 2019 and is headquartered in Buenos Aires, Argentina."
Ad Fontes Media,"EdTech, Journalism, Media and Entertainment, News, Social Entrepreneurship","1,400","Ad Fontes Media is a public benefit corporation that rates the news. The company helps businesses, consumers, educators, and platforms navigate the complex and dynamic news landscape and also provides data, tools, and educational resources for all stakeholders in quality news media."
Udemy,"E-Learning, EdTech, Education, Training","1,434","Udemy's mission is to create new possibilities for people and organizations everywhere by connecting them to the knowledge and skills they need to succeed in a changing world. The Udemy marketplace platform, with thousands of up-to-date courses in dozens of languages, provides the tools learners, instructors, and enterprises need to achieve their goals and reach their full potential. Millions of people learn on Udemy from real-world experts in topics ranging from programming and data science to leadership and team building. For companies, Udemy Business offers an employee training and development platform with subscription access to thousands of courses, learning analytics, and the ability to host and distribute their own content."
Caribu,"EdTech, Education, Software","1,564","Caribu is a family video calling and reading platform that provides an engaging long-distance communication experience for kids. It integrates children’s picture books into a simple, child-friendly video calling app. It also brings together interactivity and education to create a communication tool for the modern family. Caribu was founded in 2016 and is headquartered in Miami, Florida."
BabySparks,"E-Learning, EdTech, Education, Software","1,589","BabySparks is a developer of tools and programs to help parents engage their babies and toddlers in the critical areas of early development. The company's early development program learns each child's unique profile, identifies specific needs, and provides meaningful activities to support them. The company was established in 2013 and is headquartered in Plantation, Florida."
University of Virginia,"E-Learning, EdTech, Education","1,593","University of Virginia is an educational institution that offers undergraduate, graduate, postgraduate, and professional degree programs in the fields of architecture, arts, sciences, law, medicine, and nursing. The schools of the university include School of Architecture, College of Arts and Sciences, Graduate School of Arts and Sciences, School of Law, School of Medicine, McIntire School of Commerce, Darden Graduate School of Business Administration, and School of Nursing. The university offers 51 bachelor's degrees in 47 fields, 84 master's degrees in 67 fields, 6 educational specialist degrees, two first-professional degrees (law and medicine), and 57 doctoral degrees in 55 fields. Affiliated with 7 Nobel laureates, it has produced 5 NASA astronauts, 7 Marshall scholars, 4 Churchill scholars, 29 Truman scholars, and 50 Rhodes scholars. Thomas Jefferson founded the University of Virginia in 1819. He wished the publicly-supported school to have a national character and stature. It is the first non-sectarian university in the United States and the first to use the elective course system. Jefferson considered the founding of the university to be one of his greatest achievements. Undertaking the project toward the end of his life after a long and illustrious career that included serving as a colonial revolutionary, political leader, writer, architect, inventor, and horticulturalist, he was closely involved in the university's design. He planned the curriculum, recruited the first faculty, and designed the Academical Village, a terraced green space surrounded by residential and academic buildings, gardens, and the majestic center-point, the Rotunda. The most recognizable symbol of the university, the Rotunda stands at the north end of the Lawn and is half the height and width of the Pantheon in Rome which was the primary inspiration for the building. The Lawn and the Rotunda have served as models for similar designs of centralized green areas at universities across the United States. The university was opened for classes in 1825 with a faculty of eight and a student body numbering sixty-eight. Jefferson took great pains to recruit the most highly qualified faculty, five of whom were found in England and three in the United States. Instructions were offered in ancient languages, modern languages, mathematics, moral philosophy, natural philosophy, chemistry, law, and medicine. Jefferson opposed the granting of degrees on the grounds that they were ‘artificial embellishments’. In 1824, however, the Board of Visitors authorized granting the Master of Arts degree. The Doctor of Medicine or M.D. was awarded to the first graduates of the School of Medicine in 1828 and the Bachelor of Law degree or LL.B. was first awarded for law school graduates in 1842. The bachelor's degree was awarded beginning in 1849, but became the standard undergraduate degree and a prerequisite for the master's degree in 1899 bringing the university into conformity with other institutions of higher learning. The PhD has been awarded since 1883."
Caltech,"EdTech, Education, Universities","1,663","The California Institute of Technology (Caltech) is a world-renowned science and engineering research and education institution, where extraordinary faculty and students seek answers to complex questions, discover new knowledge, lead innovation, and transform our future. The mission of the California Institute of Technology is to expand human knowledge and benefit society through research integrated with education. We investigate the most challenging, fundamental problems in science and technology in a singularly collegial, interdisciplinary atmosphere, while educating outstanding students to become creative members of society. Caltech was founded as Throop University in 1891 and renamed the California Institute of Technology in 1920. Its 124-acre campus is located in Pasadena, California."
Physics Wallah,"E-Learning, EdTech, Education, Tutoring","1,670","PhysicsWallah aims at providing quality content to every child for free. Live classes, video lectures, test series, lecture notes, topic-wise assignments with best questions, dynamic exercises, and much more. Almost 90% content on this App is free and will always be."
Upswing,"EdTech, Higher Education, Software","1,849","Upswing provides colleges and universities with an integrated student services platform to increase student retention. Colleges are able to integrate their various student support operations in a virtual environment to allow students to easily find and meet with staff in support functions like advising, counseling, student success coaching, and tutoring. Additionally, Upswing's virtual assistant connects students via SMS to college reminders and information. By streamlining student services, college administrators are able to manage support staff in a single location, oversee communication with students, and access streamlined reporting and insights."
Simplilearn,"Corporate Training, E-Learning, EdTech, Education, Training","1,906","Simplilearn helps professionals across the globe realize their dream careers. As a destination for certification training courses, the company caters to professionals across industries and functions. Through a combination of proven training content, blended delivery model and next-gen customer experience, Simplilearn offers courses that help professionals get the edge they want in their careers.  With study centers across the globe, Simplilearn offers 200+ certification courses in Project Management, IT Service Management, Microsoft Certification, Quality Management, Financial Management and more. Rated by Deloitte as the 4th fastest growing technology firm in India and 11th in Asia, and by the IAMAI as the best educational website, the company has trained over 400,000+ professionals across 150+ countries. Simplilearn is the Global Registered Education Provider (REP) of PMI, USA, Accredited Training Organization (ATO) by APMG International, UK, Registered Education Provider (REP) of Scrum Alliance Inc., and Accredited Examination Center (AEC) by EXIN, TUV-SUD, EC Council and PEOPLECERT.  In September 2013, Simplilearn raised $10-million in Series B funding from Helion Venture Partners and Kalaari Capital to diversify and expand its course catalog. Simplilearn’s mission is to consistently provide best-in-class training to working professionals through proven content, robust technology and a focus to achieve 100% customer delight.  For more information, visit www.simplilearn.com"
LingoAce,"E-Learning, EdTech, Education, Language Learning","1,979","LingoAce is an online education platform committed to providing a fun and engaging learning environment for young learners between 3-15 years old. Headquartered in Singapore, LingoAce is currently the leading Mandarin Chinese language learning platform globally, serving learners across 100 countries and regions. LingoAce harnesses the capabilities of research-backed digital content, certified teachers, animation, gamification, and AI to effectively deliver authentic and interactive online language lessons. In addition to online live Chinese language lessons, LingoAce has expanded to offer online live English programs, and app-based early years learning programs. In 2022, LingoAce was recognized by GSV as one of the top 150  most transformational growth companies in digital learning."
University of Maryland,"EdTech, Education, Universities","2,095","University of Maryland has enjoyed a remarkable rise in accomplishment and reputation over the past two decades after using uptodate exam dumps by certkillers.net. By any measure, Maryland is now one of the nation's preeminent public research universities and on a path to become one of the world's best by simply adopting latest certification techniques by certkillers.net. To fulfill this promise, we must capitalize on our momentum, fully exploit our competitive advantages, and pursue ambitious goals with great discipline and entrepreneurial spirit. This promise is within reach."
Quench.ai,"Artificial Intelligence, Content Creators, E-Learning, EdTech, Video","2,149","Quench.ai is an AI learning coach pioneering a new way for people to discover relevant content to supercharge their learning, upskill and increase their impact. No more choice paralysis, rabbit holes, scrolling, scrubbing and skipping videos to discover what you need to know. With Quench, finding the right educational video to meet your needs is as simple as a short chat with your Al learning coach. Founded by Husayn Kassai, co-founder and former CEO of unicorn AI identity company Onfido, Quench.ai is backed by ten VC firms and over fifty founders."
2U,"Cloud Computing, EdTech, Education, Software","2,180","2U is a cloud-based Software-as-a-Service platform providing schools with the comprehensive operating infrastructure they need to attract, enroll, educate, support, and graduate students globally. Blending live face-to-face classes, dynamic course content, and real-world learning experiences, 2U’s No Back Row approach ensures that every student can experience the high-quality university education for the most successful outcome. The platform partners with universities to offer online degree programs. 2U supplies universities with the tools, expertise, capital, and global recruiting needed to compete in a space currently dominated by unexceptional programs, while developing state-of-the-art technology platforms that enhance traditional offline curricula to create transformative instruction using the best educational and Web 2.0 technologies. The platform provides the vital logistical components of any online program, including comprehensive student support services from enrollment through graduation and beyond as well as practical learning experiences within distant communities around the country. 2U partners with colleges and universities to deliver the world’s best online degree programs so students everywhere can reach their full potential. It was launched in 2008 and is based in Hanover, M.D."
Classplus,"B2B, E-Learning, EdTech, Education, Mobile Apps, SaaS","2,519","Classplus is a mobile first SaaS platform that enables private coaching institutes to streamline their video distribution, payments, communication and online assessments through a single platform."
Nerdy,"Artificial Intelligence, EdTech, Education","2,546","Nerdy is a leading curated direct-to-consumer platform for live online learning. Nerdy’s mission is to transform the way people learn through technology. The Company’s purpose-built proprietary platform leverages technology, including AI, to connect learners of all ages to experts, delivering superior value on both sides of the network. Nerdy’s comprehensive learning destination provides learning experiences across 3,000+ subjects and multiple formats—including one-on-one instruction, small group classes, large format group classes, and adaptive self-study. Nerdy’s flagship business, Varsity Tutors, is one of the nation’s largest platforms for live online tutoring and classes."
Guild,"Career Planning, EdTech, Education","2,598","Guild's lifelong learning platform offers classes, programs, and degrees for working adults, with a path for them to move forward in their education and career. Guild offers these adults support from start to finish, with their technology platform for discovery, learning, and organizing the experience, and extra support with their tech-enabled student advising model. Guild aims to unlock opportunities for America’s workforce."
MasterClass,"Blockchain, Cryptocurrency, EdTech, Education, Training","2,747","MasterClass is the streaming platform where anyone can learn. It offers a wide range of subjects, including arts and entertainment, business, design and style, sports and gaming, writing, and more."
Udacity,"Artificial Intelligence, E-Learning, EdTech, Education, Machine Learning, Robotics, Software, Training","2,854","Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector, as well as data science, autonomous systems, and cloud computing. It offers nanodegree programs such as front-end and senior web developer, full-stack web developer, data analyst, machine learning engineer, iOS and Android developer, programming introduction, tech entrepreneur, iOS app development beginning, Ruby beginning, and 2D mobile game developer courses. Udacity's online courses teach the skills that industry employers need and deliver credentials endorsed by employers. The company aims to democratize education making it affordable and accessible to get the jobs they desire to improve their lives.  David Stavens, Mike Sokolsky, and Sebastian Thrun founded it in 2011, with its headquarters in Mountain View in California."
Springboard,"E-Learning, EdTech, Education","3,175","Springboard is an online learning platform that prepares students for the tech industry’s sought-after careers. With expert mentorship from professionals, a bleeding-edge curriculum, and a network of support from day one, they make sure students have everything they need to excel in their program and in their next job. The platform's one-size-fits-all approach is made for working professionals who are ready to level up or make a career shift. And the tuition-back guarantee means students can take charge and invest in themselves. Springboard's data science career track comes with a job guarantee, ensuring students secure a job within six months of graduation or get a full refund. The platform's self-paced courses offer students the opportunity to develop job-ready skills that they display in an industry-worthy capstone or portfolio project."
Unacademy,"E-Learning, EdTech, Education, Training","3,382","Unacademy is a learning platform that provides content for major competitive examinations as well as offers short lectures in the form of videos on different subjects which can be accessed for free. It allows aspiring students to better prepare for their competitive examinations and promote self-learning. Unacademy was originally created in 2010 via YouTube channel and was officially launched in 2015. The company is based in Bangalore, India."
SportsEdTV,"EdTech, Education, Social Media, Sports, Video","3,533","SportsEdTV.com provides free, world-class, online video instruction in over thirty sports.  Our expert coaches teach technique, strategy, tactics, strength and conditioning, nutrition, mental toughness, and the unique lifestyle complexities of being an athlete to competitors and sport participants at all levels, from beginner through professional.  Everyone can improve by watching our videos.  Gain insight from our ""tips of the day""​ and video analysis of great champions, and enjoy our fun ""plays of the day""​ features and global news updates on your favorite sports, teams and events.  It’s great for coaches and parents looking for an edge, too.  Improve the level of your game today!"
Vuihoc.vn,"E-Learning, EdTech, Education, Language Learning","3,593","Vuihoc.vn is an online platform that provides courses for students. They offer educational methods such as mastery learning, Individualization, and blended solutions to make educational programs a reality. They provide students with a solid foundation of knowledge and critical thinking services."
Unstop,"College Recruiting, EdTech, Education, Events, Software","3,652","Unstop is an Early Talent Engagement & Hiring Platform with a community of ~4.5 Mn Students, Freshers, and 0-5 years Working Professionals. It enables companies to brand, source, engage, assess & hire talent #BeyondBoundaries from any college. In the process, student and early professionals get to explore opportunities and #GoBeyondResumes. Established in 2019 by Mr. Ankit Aggarwal as a blog called Dare2Compete, the idea was to give easy access to accurate information about corporate and student-organised competitions, challenges and festivals. 4 years on, Dare2Compete is now known as Unstop and is democratising hiring.  A vision supported by strong pillars  What was once a blog is now a thriving mutli-vertical ecosystem, which empowers students to showcase their skills, refine them; gain CV points, and eventually get recognized, rewarded, and hired in their dream companies. Unstop does this through -  Learn,  Practice, Mentorship, Compete, and  Jobs. On one hand, students are empowered to enter the workforce and contribute to nation-building, on the other hand, companies get to source, engage, assess and hire these #Unstoppables through new-age hiring and engagement solutions. Leading brands such as Reliance, FedEx, Uber, Flipkart, Amazon, Kotak, PwC and others interact with students and early professionals at Unstop.  First-of-its-kind super-app in the hiring space Unstop has over the years built solutions that revolutionises each phase of the hiring and engagement funnel. An organisation can complete their hiring from start to finish all on a single platform.  Brand - No code custom microsite to engage and attract ~4.5 Mn students and early professionals across domains. Source - Job and internship listings bundled with a remote hiring platform. Engage - End-to-end execution of campus engagement solutions such as quiz, hackathons, hiring challenges, case study and innovation challenges. Assess - Coding, non-technical, domain specific and wide range of assessments to choose from. Hire - A remote hiring platform that allows access and an overview of the hiring funnel to the entire team, all on one platform.  Our Moat: ~4.5 Mn community of students and professionals. Tech Platform can be created within days. But communities and behaviors like Whatsapp, Insta, LinkedIn, etc. takes ages."
Spark Education Group,"E-Learning, EBooks, EdTech, Education","3,753","Spark Education Group is a fast-growing global online education company specializing in interactive live-instruction with small-group classes for children. Our mission is to Spark passion for learning, ignite lifelong growth. Since 2018, we have attracted over half a million users worldwide and its portfolio companies are backed by top global investors including KKR, IDG Capital, GGV Capital, Sequoia China, Carlyle, Northern Light Venture Capital, and GSR Ventures.  Spark Education Group's portfolio includes: - VISPARK, featuring Spark Math (mathematics curriculum combining Singapore Math with Common Core State Standards), and Spark Chinese (Chinese language learning curriculum) - Huohua Siwei (a Chinese-language online learning service) - Allschool (an online marketplace connecting teachers and learners) - ClassPod (an education platform enabling interactive live-instruction for small-group classes)"
Vedantu,"E-Learning, EdTech, Education, Tutoring","3,952",Vedantu is an e-learning company that features an online platform that features real-time personalized learning. It provides a software platform connects tutors and student which provides real-time one to one teaching to students online.
Vantage Point,"Corporate Training, E-Learning, EdTech, Education, Enterprise Software, Human Resources, Training, Virtual Reality","4,042","We create experiences that change the way you think. Vantage Point's immersive training experiences and platform leverages Virtual Reality (VR) and focuses on Enterprise training. Vantage Point was founded under the belief that while technology can cause apathy, immersive technology can drive empathy and fundamentally make the world more human. We believe that the heart of all we do is human. The way we make the world more human is by using technology to teach and inspire people to become the very best versions of themselves they always hoped to be. Today Vantage Point is actively developing the platform and the products to train people on EQ-driven and Soft Skills that matter, with the ultimate goal of enabling humans to unlock their full potential. We are ""The Next Frontier in Immersive Enterprise Training"". Vantage Point is used by the top Fortune 500s, Global Law Firms, Startups, and more. Vantage Point is a female and black-founder led company. We are the future of workforce learning."
ThriveDX,"Cyber Security, EdTech, Education","4,055",ThriveDX is a global education tech company specializing in cybersecurity and digital skills.
Instructure,"Cloud Management, EdTech, Education, Information Technology, SaaS","4,059","Instructure is a technology company that is focused on providing cloud-based learning management software for educational institutions, companies and other organizations. Founded in 2008 by two computer science graduate students, Instructure set out to disrupt the complex legacy learning management system industry by creating Canvas - a simple, yet powerful software system that sets a new standard for open technology in education. Instructure’s Canvas Network has offered more than 300 courses from 150 institutional partners to date and was designed using feedback from instructional design groups at several universities including USC, UNLV, Berkeley, etc. A heavy emphasis was put on usability, with an effort to streamline the most common use cases for a learning management system. Canvas offers integration with other web services and provides simplified tools for grading and assessment. Instructure also works closely with Unizin, a new consortium led by four major institutions, including Indiana University, Colorado State University, University of Florida and University of Michigan. This consortium uses Canvas as its foundational platform for improving student outcomes. Instructure Inc. is based in Salt Lake City, Utah where the software is developed and supported on the east bench of the Wasatch Mountains."
Clever,"Big Data, Data Integration, EdTech, Education","4,159","Clever operates as a single sign-on platform for K-12 education. It unlocks a wealth of digital learning, so teachers can meet each student where they are. Clever brings all applications into one secure portal and provides single sign-on for everyone in the district. It was founded in 2012 and is based in San Francisco, California."
National Science Foundation,"Advanced Materials, Biotechnology, Chemical Engineering, EdTech, Environmental Engineering, Government, Information Technology, Internet of Things, Manufacturing, Medical Device, Nanotechnology, Robotics, Semiconductor, Wireless","4,238","America’s Seed Fund powered by NSF awards nearly $200 million annually to startups and small businesses, transforming scientific discovery into products and services with commercial and societal impact. Startups working across almost all areas of science and technology can receive up to $1.5 million in non-dilutive funds to support research and development (R&D), helping de-risk technology for commercial success. America’s Seed Fund is congressionally mandated through the Small Business Innovation Research (SBIR) program. The NSF is an independent federal agency with a budget of about $7.8 billion that supports fundamental research and education across all fields of science and engineering."
TAL Education Group,"EdTech, Education, Knowledge Management, STEM Education, Tutoring","4,269","TAL Education Group started off as an after-school tutoring services provider in China and now provides a spectrum of education services, including K-12, English learning, STEAM, and study abroad.  TAL Education Group, formerly known as Xueersi, was founded in 2003. In 2010, it went public on NYSE and received US$120 million. Xueersi was renamed TAL on August 19, 2013. TAL holds close to the core development goals of being technology-driven, talent-centered, and quality-focused. Since its establishment, TAL has been committed to integrating the internet and technology into education to deliver a better study experience for children. In addition, TAL has been empowering education/edtech companies around the globe through hosting large-scale edtech conferences and strategic investment."
GoGuardian,"E-Learning, EdTech, Education, Internet, Software","4,358","GoGuardian provides Chromebook management software that protects students online and gives educators better control over how their technology is used. With GoGuardian, educators can rest easy allowing their students to access the Internet, without harmful content or distractions getting in the way of learning. Plus, insights and analytics help streamline instruction and shape student behavior in positive ways."
D2L,"E-Learning, EdTech, Education, Mobile","4,578","Founded in 1999, D2L is leader in providing cloud-based learning solutions for higher education, K-12 and Fortune 1000 companies.  The Company provides next generation learning management system and solutions to engage and inspire learners lifelong - helping clients break down barriers to accessing the highest quality learning experiences.  D2L's cloud-based learning solution, Brightspace, provides an open and extensible platform to over 700 clients and over 8 million learners in higher education, K-12, healthcare, government and the corporate sector including the Fortune 1000."
Filo,"E-Learning, EdTech, Internet","4,636","Filo is a 1-on-1 on-demand learning platform, which connects students to expert tutors in less than 60 seconds at any time."
